Folder          temp    press   Average_Volume          Average_Potential       Average_Dihedral
700K_100atm     700.0   100.0   44587.753358442766      866.4641520641268       -0.07243949406271526
800K_300atm     800.0   300.0   11129.298289771727      828.5455119824059       -0.02999643440999681
900K_500atm     900.0   500.0   10015.320187337611      876.4174400548181       0.006732834134899348
1000K_600atm    1000.0  600.0   11383.34798863174       940.5298839249829       -0.05767724489242944
1100K_700atm    1100.0  700.0   12062.317097329604      989.4653014880371       0.16605619383089712
1200K_800atm    1200.0  800.0   12233.92015442855       1034.4108569121488      -0.1259912356932719
1300K_900atm	1300.0	900.0	12409.972685507812	1076.8822983945422	0.002805867612038128
1400K_1000atm   1400.0  1000.0  12517.465526141787      1116.274465816199       0.10048459584228299
1500K_1000atm   1500.0  1000.0  13617.330663947056      1161.361329990712       0.08084797509289028
